Project,Build,Runtime,Architecture,Tiered,Ready2Run,ZipSize,MemorySize,Sample,Runs,Init,Used,Used-01,Used-02,Used-03,Used-04,Used-05,Used-06,Used-07,Used-08,Used-09,Used-10,Used-11,Used-12,Used-13,Used-14,Used-15,Used-16,Used-17,Used-18,Used-19,Used-20,Used-21,Used-22,Used-23,Used-24,Used-25,Total Used
SystemTextJson,SystemTextJson-Net6-Arm64-NoTC-YesR2R-1769,dotnet6,arm64,no,yes,57176,1769MB,AVERAGE,20,277.596,151.898,4.532,2.725,2.733,2.24,2.367,2.402,2.317,3.337,2.551,2.199,2.57,2.413,4.424,2.704,3.213,3.869,2.632,1.829,1.944,1.907,2.24,2.676,2.085,2.226,2.14,66.268
SystemTextJson,SystemTextJson-Net6-Arm64-NoTC-YesR2R-256,dotnet6,arm64,no,yes,57176,256MB,AVERAGE,20,278.337,1194.477,28.088,15.686,8.479,5.084,6.234,2.176,7.691,2.851,2.72,2.499,2.947,4.377,4.313,3.552,3.456,7.597,3.127,5.674,2.284,4.004,2.484,2.283,5.956,2.363,2.469,138.388
SystemTextJson,SystemTextJson-Net6-Arm64-NoTC-YesR2R-512,dotnet6,arm64,no,yes,57176,512MB,AVERAGE,20,281.487,556.414,4.043,2.601,2.867,2.474,2.746,2.065,1.977,2.259,2.211,3.707,5.45,2.962,8.45,3.232,2.331,2.903,3.034,2.037,1.755,1.98,1.755,2.135,1.832,2.066,3.304,72.17
SystemTextJson,SystemTextJson-Net6-Arm64-YesTC-NoR2R-1024,dotnet6,arm64,yes,no,48300,1024MB,AVERAGE,20,243.037,223.244,3.9,2.893,3.903,3.268,2.261,2.337,2.404,3.22,2.895,2.905,4.005,3.084,3.47,3.602,3.161,3.882,3.096,2.875,3.487,4.171,2.121,2.338,3.783,5.241,3.121,81.417
SystemTextJson,SystemTextJson-Net6-Arm64-YesTC-NoR2R-128,dotnet6,arm64,yes,no,48300,128MB,AVERAGE,20,243.903,2492.212,142.223,34.624,20.044,13.418,15.152,9.829,12.218,17.832,12.862,11.532,18.388,21.549,28.068,25.367,30.466,31.554,31.453,37.955,33.196,32.635,26.893,35.763,22.074,16.797,25.463,707.348
SystemTextJson,SystemTextJson-Net6-Arm64-YesTC-NoR2R-1769,dotnet6,arm64,yes,no,48300,1769MB,AVERAGE,20,239.93,132.589,5.068,3.724,2.57,2.796,2.362,2.15,2.851,2.543,3.251,2.999,3.078,3.229,3.232,4.505,3.297,3.088,3.105,3.05,3.784,2.894,2.139,2.004,2.702,2.702,2.903,76.021
SystemTextJson,SystemTextJson-Net6-Arm64-YesTC-NoR2R-256,dotnet6,arm64,yes,no,48300,256MB,AVERAGE,20,242.368,1121.225,38.443,12.859,6.616,9.301,8.309,5.304,5.993,7.167,6.419,4.833,7.314,9.609,4.062,3.02,5.406,10.95,7.321,9.129,11.102,5.417,12.087,9.575,11.423,9.553,10.696,231.902
SystemTextJson,SystemTextJson-Net6-Arm64-YesTC-NoR2R-512,dotnet6,arm64,yes,no,48300,512MB,AVERAGE,20,241.566,476.196,6.918,2.563,2.852,8.971,9.234,3.493,4.485,3.341,2.479,2.817,4.122,4.055,4.679,5.683,3.988,7.215,3.179,2.422,6.467,1.912,2.297,2.316,3.645,4.883,2.535,106.546
SystemTextJson,SystemTextJson-Net6-Arm64-YesTC-YesR2R-1024,dotnet6,arm64,yes,yes,57177,1024MB,AVERAGE,20,240.123,222.535,3.65,3.512,2.417,2.816,3.933,2.109,2.276,2.425,3.609,2.72,2.847,2.875,6.592,2.983,3.83,2.475,3.559,2.616,2.043,1.963,2.197,2.723,2.222,2.62,3.229,74.236
SystemTextJson,SystemTextJson-Net6-Arm64-YesTC-YesR2R-128,dotnet6,arm64,yes,yes,57177,128MB,AVERAGE,20,242.798,2375.186,130.52,26.286,16.72,15.155,20.244,38.408,24.154,28.793,14.207,9.692,23.43,32.572,23.81,33.404,24.283,34.111,29.388,20.502,26.477,30.349,35.257,45.451,33.95,30.318,24.416,771.891
SystemTextJson,SystemTextJson-Net6-Arm64-YesTC-YesR2R-1769,dotnet6,arm64,yes,yes,57177,1769MB,AVERAGE,20,241.272,130.603,4.186,2.633,2.99,3.732,2.18,2.547,2.039,2.927,4.873,3.299,3.344,3.304,5.674,3.772,3.545,2.425,2.847,3.031,2.408,3.066,2.514,2.086,2.099,2.221,2.194,75.929
