Project,Build,Runtime,Architecture,Tiered,Ready2Run,PreJIT,ZipSize,MemorySize,Runs,Init,Cold Used,Total Warm Used (100),Cost (µ$)
AwsNewtonsoftJson,AwsNewtonsoftJson-Net6-Arm64-NoTC-NoR2R-NoPreJIT-05120,dotnet6,arm64,no,no,no,787961,5120MB,100,487.098,381.614,238.384,61.53343999949999
AwsNewtonsoftJson,AwsNewtonsoftJson-Net6-Arm64-NoTC-NoR2R-YesPreJIT-01024,dotnet6,arm64,no,no,yes,787961,1024MB,100,668.726,491.666,235.582,29.89669114988
AwsNewtonsoftJson,AwsNewtonsoftJson-Net6-Arm64-NoTC-NoR2R-YesPreJIT-00128,dotnet6,arm64,no,no,yes,787961,128MB,181,669.123,4424.746,1059.606,29.34063299575415
AwsNewtonsoftJson,AwsNewtonsoftJson-Net6-Arm64-NoTC-NoR2R-YesPreJIT-01769,dotnet6,arm64,no,no,yes,787961,1769MB,100,665.677,278.915,228.858,31.89602540822006
AwsNewtonsoftJson,AwsNewtonsoftJson-Net6-Arm64-NoTC-NoR2R-YesPreJIT-00256,dotnet6,arm64,no,no,yes,787961,256MB,100,663.583,2157.373,408.993,28.754596439435
AwsNewtonsoftJson,AwsNewtonsoftJson-Net6-Arm64-NoTC-NoR2R-YesPreJIT-00512,dotnet6,arm64,no,no,yes,787961,512MB,100,668.324,1032.502,257.807,28.80210101029
AwsNewtonsoftJson,AwsNewtonsoftJson-Net6-Arm64-NoTC-NoR2R-YesPreJIT-05120,dotnet6,arm64,no,no,yes,787961,5120MB,100,616.314,263.944,238.358,53.6869541006
AwsNewtonsoftJson,AwsNewtonsoftJson-Net6-Arm64-NoTC-YesR2R-NoPreJIT-01024,dotnet6,arm64,no,yes,no,2084689,1024MB,100,435.18,446.618,243.377,29.39997399964
AwsNewtonsoftJson,AwsNewtonsoftJson-Net6-Arm64-NoTC-YesR2R-NoPreJIT-00128,dotnet6,arm64,no,yes,no,2084689,128MB,191,437.233,4031.116,1271.156,29.037165215273546
AwsNewtonsoftJson,AwsNewtonsoftJson-Net6-Arm64-NoTC-YesR2R-NoPreJIT-01769,dotnet6,arm64,no,yes,no,2084689,1769MB,100,437.593,258.907,242.357,31.746111122194044
AwsNewtonsoftJson,AwsNewtonsoftJson-Net6-Arm64-NoTC-YesR2R-NoPreJIT-00256,dotnet6,arm64,no,yes,no,2084689,256MB,100,438.937,1984.563,452.937,28.325040625
AwsNewtonsoftJson,AwsNewtonsoftJson-Net6-Arm64-NoTC-YesR2R-NoPreJIT-00512,dotnet6,arm64,no,yes,no,2084689,512MB,100,440.759,949.528,271.934,28.34311938206
AwsNewtonsoftJson,AwsNewtonsoftJson-Net6-Arm64-NoTC-YesR2R-NoPreJIT-05120,dotnet6,arm64,no,yes,no,2084689,5120MB,100,392.719,242.404,249.01,52.9610571378
AwsNewtonsoftJson,AwsNewtonsoftJson-Net6-Arm64-NoTC-YesR2R-YesPreJIT-01024,dotnet6,arm64,no,yes,yes,2084689,1024MB,100,490.66,381.157,243.242,28.52535229322
AwsNewtonsoftJson,AwsNewtonsoftJson-Net6-Arm64-NoTC-YesR2R-YesPreJIT-00128,dotnet6,arm64,no,yes,yes,2084689,128MB,100,490.66,3421.527,1258.726,28.0004601687725
AwsNewtonsoftJson,AwsNewtonsoftJson-Net6-Arm64-NoTC-YesR2R-YesPreJIT-01769,dotnet6,arm64,no,yes,yes,2084689,1769MB,100,491.887,219.115,243.123,30.84716670431735
AwsNewtonsoftJson,AwsNewtonsoftJson-Net6-Arm64-NoTC-YesR2R-YesPreJIT-00256,dotnet6,arm64,no,yes,yes,2084689,256MB,100,493.301,1691.63,485.991,27.458771293674996
AwsNewtonsoftJson,AwsNewtonsoftJson-Net6-Arm64-NoTC-YesR2R-YesPreJIT-00512,dotnet6,arm64,no,yes,yes,2084689,512MB,100,492.012,804.687,273.585,27.38851527573
